g++ -c -O3  -Wall -fmessage-length=0 -std=c++0x  -I. -I../task2/src/ -I. -I/opt/hwloc-1.4/include/ -o lib/set_bench/SetBench.o test/set_bench/SetBench.cpp
g++ -o bin/pheet_test  lib/pheet_tests.o lib/Test.o lib/graph_bipartitioning/GraphBipartitioningTests.o lib/sorting/SortingTests.o lib/inarow/InARowTests.o lib/n-queens/NQueensTests.o lib/lupiv/LUPivTests.o lib/uts/RecursiveSearch/rng/brg_sha1.o lib/uts/RecursiveSearch/uts.o lib/uts/UTSTests.o lib/uts/UTSImp.o  lib/sor/SORTests.o lib/prefix_sum/PrefixSumTests.o lib/set_bench/SetBench.o lib/count_bench/CountBench.o lib/sssp/SsspTests.o lib/tristrip/TriStripTests.o -L/opt/gcc-4.7/lib/ -L/opt/gcc-4.7/lib64/ -L/opt/hwloc-1.4/lib/ -lpthread -lhwloc -L../advanced_multiprocessor_programming/task2/build/src/  -lcuckooset -L../advanced_multiprocessor_programming/task2/build/src/  -lstdset
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	6	19.2832	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	12	22.9286	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	24	28.4406	
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.5	0.25	0	48	37.7594	
----
test	set	scheduler	range	blocks	contains_p	add_p	seed	cpus	total_time	
set_bench	GlobalLockSet<BackoffLock>	BStrategyScheduler<DistKStrategyTaskStorage<128, Local>>	10000	1000	0.99	0.005	0	1	4.27604	
